Archive_Date,Specialty_HIPE,Specialty_Name,Case_Type,Adult_Child,Age_Profile,Time_Bands,Total
31-01-2020,0,Small Volume Specialities,Day Case,Child,0-15,  0-3 Months,5
31-01-2020,0,Small Volume Specialities,Day Case,Child,0-15,  3-6 Months,1
31-01-2020,0,Small Volume Specialities,Day Case,Child,0-15,  9-12 Months,2
31-01-2020,0,Small Volume Specialities,Day Case,Child,0-15, 12-15 Months,2
31-01-2020,0,Small Volume Specialities,Day Case,Child,16-64,  0-3 Months,1
31-01-2020,0,Small Volume Specialities,Inpatient,Child,0-15,  0-3 Months,4
31-01-2020,0,Small Volume Specialities,Inpatient,Child,0-15,  3-6 Months,3
31-01-2020,0,Small Volume Specialities,Inpatient,Child,0-15,  9-12 Months,1
31-01-2020,601,Paediatric ENT,Day Case,Child,0-15,  0-3 Months,75
31-01-2020,601,Paediatric ENT,Day Case,Child,0-15,  3-6 Months,25
31-01-2020,601,Paediatric ENT,Day Case,Child,0-15,  6-9 Months,15
31-01-2020,601,Paediatric ENT,Day Case,Child,0-15,  9-12 Months,18
31-01-2020,601,Paediatric ENT,Day Case,Child,0-15, 12-15 Months,1
31-01-2020,601,Paediatric ENT,Day Case,Child,0-15, 15-18 Months,1
31-01-2020,601,Paediatric ENT,Day Case,Child,0-15,18+ Months,2
31-01-2020,601,Paediatric ENT,Day Case,Child,16-64,  0-3 Months,3
31-01-2020,601,Paediatric ENT,Day Case,Child,16-64,  3-6 Months,4
31-01-2020,601,Paediatric ENT,Day Case,Child,16-64,  9-12 Months,2
31-01-2020,601,Paediatric ENT,Inpatient,Child,0-15,  0-3 Months,113
31-01-2020,601,Paediatric ENT,Inpatient,Child,0-15,  3-6 Months,100
31-01-2020,601,Paediatric ENT,Inpatient,Child,0-15,  6-9 Months,31
31-01-2020,601,Paediatric ENT,Inpatient,Child,0-15,  9-12 Months,28
31-01-2020,601,Paediatric ENT,Inpatient,Child,0-15, 12-15 Months,14
31-01-2020,601,Paediatric ENT,Inpatient,Child,0-15, 15-18 Months,2
31-01-2020,601,Paediatric ENT,Inpatient,Child,0-15,18+ Months,13
31-01-2020,601,Paediatric ENT,Inpatient,Child,16-64,  0-3 Months,2
31-01-2020,601,Paediatric ENT,Inpatient,Child,16-64,  3-6 Months,1
31-01-2020,601,Paediatric ENT,Inpatient,Child,16-64,  9-12 Months,2
31-01-2020,601,Paediatric ENT,Inpatient,Child,16-64, 12-15 Months,1
31-01-2020,1302,Paediatric Neurology,Day Case,Child,0-15,  0-3 Months,1
31-01-2020,1302,Paediatric Neurology,Inpatient,Child,0-15,  0-3 Months,4
31-01-2020,1302,Paediatric Neurology,Inpatient,Child,0-15,  3-6 Months,3
31-01-2020,1402,Paediatric Neurosurgery,Day Case,Child,0-15,  0-3 Months,2
31-01-2020,1402,Paediatric Neurosurgery,Day Case,Child,0-15,  6-9 Months,1
31-01-2020,1402,Paediatric Neurosurgery,Day Case,Child,0-15,  9-12 Months,1
31-01-2020,1402,Paediatric Neurosurgery,Inpatient,Child,0-15,  0-3 Months,1
31-01-2020,1402,Paediatric Neurosurgery,Inpatient,Child,0-15,  9-12 Months,3
31-01-2020,1700,Ophthalmology,Day Case,Child,0-15,  0-3 Months,127
31-01-2020,1700,Ophthalmology,Day Case,Child,0-15,  3-6 Months,77
31-01-2020,1700,Ophthalmology,Day Case,Child,0-15,  6-9 Months,46
31-01-2020,1700,Ophthalmology,Day Case,Child,0-15,  9-12 Months,25
31-01-2020,1700,Ophthalmology,Day Case,Child,0-15, 12-15 Months,25
31-01-2020,1700,Ophthalmology,Day Case,Child,0-15, 15-18 Months,9
31-01-2020,1700,Ophthalmology,Day Case,Child,0-15,18+ Months,4
31-01-2020,1700,Ophthalmology,Day Case,Child,16-64,  0-3 Months,3
31-01-2020,1700,Ophthalmology,Day Case,Child,16-64,  3-6 Months,1
31-01-2020,1700,Ophthalmology,Day Case,Child,16-64,  6-9 Months,1
31-01-2020,1700,Ophthalmology,Day Case,Child,16-64,  9-12 Months,1
31-01-2020,1700,Ophthalmology,Day Case,Child,16-64, 12-15 Months,1
31-01-2020,1700,Ophthalmology,Inpatient,Child,0-15,  0-3 Months,4
31-01-2020,1700,Ophthalmology,Inpatient,Child,0-15,  3-6 Months,3
31-01-2020,1700,Ophthalmology,Inpatient,Child,0-15,  9-12 Months,1
31-01-2020,1700,Ophthalmology,Inpatient,Child,0-15, 12-15 Months,2
31-01-2020,1802,Paed Orthopaedic,Day Case,Child,0-15,  0-3 Months,107
31-01-2020,1802,Paed Orthopaedic,Day Case,Child,0-15,  3-6 Months,67
31-01-2020,1802,Paed Orthopaedic,Day Case,Child,0-15,  6-9 Months,35
31-01-2020,1802,Paed Orthopaedic,Day Case,Child,0-15,  9-12 Months,27
31-01-2020,1802,Paed Orthopaedic,Day Case,Child,0-15, 12-15 Months,20
31-01-2020,1802,Paed Orthopaedic,Day Case,Child,0-15, 15-18 Months,18
31-01-2020,1802,Paed Orthopaedic,Day Case,Child,0-15,18+ Months,44
