Archive_Date,Specialty_HIPE,Specialty_Name,Case_Type,Adult_Child,Age_Profile,Time_Bands,Total
31-01-2021,0,Small Volume Specialities,Day Case,Child,0-15,  3-6 Months,2
31-01-2021,0,Small Volume Specialities,Day Case,Child,0-15,  9-12 Months,1
31-01-2021,0,Small Volume Specialities,Day Case,Child,0-15,18+ Months,1
31-01-2021,0,Small Volume Specialities,Day Case,Child,16-64,  6-9 Months,1
31-01-2021,0,Small Volume Specialities,Inpatient,Child,0-15,  0-3 Months,3
31-01-2021,0,Small Volume Specialities,Inpatient,Child,0-15,  9-12 Months,1
31-01-2021,0,Small Volume Specialities,Inpatient,Child,0-15, 12-15 Months,2
31-01-2021,0,Small Volume Specialities,Inpatient,Child,0-15, 15-18 Months,1
31-01-2021,0,Small Volume Specialities,Inpatient,Child,0-15,18+ Months,1
31-01-2021,0,Small Volume Specialities,Inpatient,Child,16-64, 12-15 Months,1
31-01-2021,601,Paediatric ENT,Day Case,Child,0-15,  0-3 Months,144
31-01-2021,601,Paediatric ENT,Day Case,Child,0-15,  3-6 Months,66
31-01-2021,601,Paediatric ENT,Day Case,Child,0-15,  6-9 Months,8
31-01-2021,601,Paediatric ENT,Day Case,Child,0-15,  9-12 Months,20
31-01-2021,601,Paediatric ENT,Day Case,Child,0-15, 12-15 Months,27
31-01-2021,601,Paediatric ENT,Day Case,Child,0-15, 15-18 Months,10
31-01-2021,601,Paediatric ENT,Day Case,Child,0-15,18+ Months,16
31-01-2021,601,Paediatric ENT,Day Case,Child,16-64,  0-3 Months,3
31-01-2021,601,Paediatric ENT,Day Case,Child,16-64,  3-6 Months,1
31-01-2021,601,Paediatric ENT,Day Case,Child,16-64, 12-15 Months,2
31-01-2021,601,Paediatric ENT,Day Case,Child,16-64, 15-18 Months,2
31-01-2021,601,Paediatric ENT,Day Case,Child,16-64,18+ Months,1
31-01-2021,601,Paediatric ENT,Inpatient,Child,0-15,  0-3 Months,79
31-01-2021,601,Paediatric ENT,Inpatient,Child,0-15,  3-6 Months,139
31-01-2021,601,Paediatric ENT,Inpatient,Child,0-15,  6-9 Months,74
31-01-2021,601,Paediatric ENT,Inpatient,Child,0-15,  9-12 Months,43
31-01-2021,601,Paediatric ENT,Inpatient,Child,0-15, 12-15 Months,53
31-01-2021,601,Paediatric ENT,Inpatient,Child,0-15, 15-18 Months,37
31-01-2021,601,Paediatric ENT,Inpatient,Child,0-15,18+ Months,54
31-01-2021,601,Paediatric ENT,Inpatient,Child,16-64,  0-3 Months,3
31-01-2021,601,Paediatric ENT,Inpatient,Child,16-64,  3-6 Months,4
31-01-2021,601,Paediatric ENT,Inpatient,Child,16-64,  6-9 Months,1
31-01-2021,601,Paediatric ENT,Inpatient,Child,16-64,  9-12 Months,6
31-01-2021,601,Paediatric ENT,Inpatient,Child,16-64, 12-15 Months,4
31-01-2021,601,Paediatric ENT,Inpatient,Child,16-64, 15-18 Months,4
31-01-2021,601,Paediatric ENT,Inpatient,Child,16-64,18+ Months,3
31-01-2021,1302,Paediatric Neurology,Day Case,Child,0-15,  0-3 Months,3
31-01-2021,1302,Paediatric Neurology,Day Case,Child,0-15,  6-9 Months,2
31-01-2021,1302,Paediatric Neurology,Inpatient,Child,0-15,  0-3 Months,3
31-01-2021,1302,Paediatric Neurology,Inpatient,Child,0-15,  3-6 Months,2
31-01-2021,1302,Paediatric Neurology,Inpatient,Child,0-15,  6-9 Months,1
31-01-2021,1302,Paediatric Neurology,Inpatient,Child,0-15,  9-12 Months,2
31-01-2021,1302,Paediatric Neurology,Inpatient,Child,0-15, 12-15 Months,4
31-01-2021,1302,Paediatric Neurology,Inpatient,Child,0-15, 15-18 Months,3
31-01-2021,1402,Paediatric Neurosurgery,Day Case,Child,0-15,  0-3 Months,3
31-01-2021,1402,Paediatric Neurosurgery,Day Case,Child,0-15,  6-9 Months,1
31-01-2021,1402,Paediatric Neurosurgery,Day Case,Child,0-15,  9-12 Months,1
31-01-2021,1402,Paediatric Neurosurgery,Day Case,Child,0-15,18+ Months,2
31-01-2021,1402,Paediatric Neurosurgery,Inpatient,Child,0-15,  0-3 Months,18
31-01-2021,1402,Paediatric Neurosurgery,Inpatient,Child,0-15,  3-6 Months,3
31-01-2021,1402,Paediatric Neurosurgery,Inpatient,Child,0-15,  6-9 Months,2
31-01-2021,1402,Paediatric Neurosurgery,Inpatient,Child,0-15,  9-12 Months,1
31-01-2021,1402,Paediatric Neurosurgery,Inpatient,Child,0-15,18+ Months,3
31-01-2021,1402,Paediatric Neurosurgery,Inpatient,Child,16-64,  3-6 Months,1
31-01-2021,1402,Paediatric Neurosurgery,Inpatient,Child,16-64,  6-9 Months,1
31-01-2021,1700,Ophthalmology,Day Case,Child,0-15,  0-3 Months,104
31-01-2021,1700,Ophthalmology,Day Case,Child,0-15,  3-6 Months,70
31-01-2021,1700,Ophthalmology,Day Case,Child,0-15,  6-9 Months,37
31-01-2021,1700,Ophthalmology,Day Case,Child,0-15,  9-12 Months,48
31-01-2021,1700,Ophthalmology,Day Case,Child,0-15, 12-15 Months,55
31-01-2021,1700,Ophthalmology,Day Case,Child,0-15, 15-18 Months,21
31-01-2021,1700,Ophthalmology,Day Case,Child,0-15,18+ Months,31
31-01-2021,1700,Ophthalmology,Day Case,Child,16-64,  0-3 Months,2
31-01-2021,1700,Ophthalmology,Day Case,Child,16-64,  3-6 Months,3
31-01-2021,1700,Ophthalmology,Day Case,Child,16-64,  9-12 Months,3
31-01-2021,1700,Ophthalmology,Day Case,Child,16-64, 12-15 Months,3
31-01-2021,1700,Ophthalmology,Day Case,Child,16-64, 15-18 Months,1
31-01-2021,1700,Ophthalmology,Inpatient,Child,0-15,  0-3 Months,4
31-01-2021,1700,Ophthalmology,Inpatient,Child,0-15,  3-6 Months,3
31-01-2021,1700,Ophthalmology,Inpatient,Child,0-15,  6-9 Months,2
31-01-2021,1700,Ophthalmology,Inpatient,Child,0-15, 12-15 Months,1
31-01-2021,1700,Ophthalmology,Inpatient,Child,0-15, 15-18 Months,3
31-01-2021,1700,Ophthalmology,Inpatient,Child,0-15,18+ Months,2
31-01-2021,1802,Paed Orthopaedic,Day Case,Child,0-15,  0-3 Months,99
31-01-2021,1802,Paed Orthopaedic,Day Case,Child,0-15,  3-6 Months,67
31-01-2021,1802,Paed Orthopaedic,Day Case,Child,0-15,  6-9 Months,26
31-01-2021,1802,Paed Orthopaedic,Day Case,Child,0-15,  9-12 Months,38
31-01-2021,1802,Paed Orthopaedic,Day Case,Child,0-15, 12-15 Months,52
31-01-2021,1802,Paed Orthopaedic,Day Case,Child,0-15, 15-18 Months,20
31-01-2021,1802,Paed Orthopaedic,Day Case,Child,0-15,18+ Months,51
31-01-2021,1802,Paed Orthopaedic,Day Case,Child,16-64,  0-3 Months,5
31-01-2021,1802,Paed Orthopaedic,Day Case,Child,16-64,  3-6 Months,6
31-01-2021,1802,Paed Orthopaedic,Day Case,Child,16-64,  6-9 Months,2
31-01-2021,1802,Paed Orthopaedic,Day Case,Child,16-64,  9-12 Months,8
31-01-2021,1802,Paed Orthopaedic,Day Case,Child,16-64, 12-15 Months,7
31-01-2021,1802,Paed Orthopaedic,Day Case,Child,16-64, 15-18 Months,5
31-01-2021,1802,Paed Orthopaedic,Day Case,Child,16-64,18+ Months,33
